Citra Dewi, Citra Kusuma Dewi
Caraka R.E., Rezzy Eko Caraka
Trihanondo D., Donny Trihanondo
Endriawan D., Didit Endriawan
Sibaroni Y., Yuliant Sibaroni
Gia S. Wulandari, Gia Septiana Wulandari
Rd Rohmat Saedudin, Rd. Rohmat Saedudin
Fiky Y. Suratman, Fiky Yosef Suratman
Isti Qomah, Istiqomah
Sigit Yuwono, 0
Abrar Ismardi, Abrar
Afief Dias Pambudi, 0
Abdelhak M. Zoubu, 0
Michael FauÃŸ, 0
Kemas M. Lhaksmana, Kemas Muslim Lhaksmana
Kamelia Quzwain, Kamelia
Gunawan P.H., Putu Harry Gunawan
Kamelia Quzwain, Kamelia
Hilal H. Nuha, Hilal Hudan Nuha
Suhal Kusairi, Suhal
Kusumasari T.F., Tien Fabrianti Kusumasari
Hasibuan M.A., Muhammad Azani Hs
Gozali A.A., Alfian Akbar Gozali
Sabariah M.K., Mira Kania Sabariah
Iphov K. Sriwana, Iphov Kumala Sriwana
Hamami F., Faqih Hamami
Suyanto Suyanto, Suyanto
Moch Arif Bijaksana, Moch. Arif Bijaksana
Hilal Nuha, Hilal Hudan Nuha
Gunawan P.H., Putu Harry Gunawan
Nadiya Damayasih, 0
Gayes Mahes, 0
Sujana A.P., Aprianti Putri Sujana
Asti Amalia N.F., Asti Amalia Nur Fajrillah
Lubis Muharman, Muharman Lubis
Soni F. Gumilang, Soni Fajar Surya Gumilang
Moch Arif Bijaksana, Moch. Arif Bijaksana
Santosa B., Budi Santosa
Citra Dewi, 0
Rita Prima Bendriyanti, 0
Saedudin R.D.R., Rd. Rohmat Saedudin
Iqbal M., Muhammad Iqbal
Anugraha R.A., Rino Andias Anugraha
Arseno D., Dharu Arseno
Ridwan A.Y., Ari Yanuar Ridwan
Nisa D. Angresti, Nisa Dwi Angresti
Sasmi Hidayatul Y.T., Sasmi Hidayatul Yulianing Tyas
Muhammad Azani Hasibuan, Muhammad Azani Hs
Nugraha R.A., 0
Handoko Y., 0
Hilal Nuha, Hilal Hudan Nuha
Wijanto H., Heroe Wijanto
Vidyaningtyas H., Hurianti Vidyaningtyas
Insanudin E., Entik Insanudin
Arifianto A., Anditya Arifianto
Sthevanie F., Febryanti Sthevanie
Erwin Setiawan, Erwin Budi Setiawan
R.D. Rohmat Saedudin, Rd. Rohmat Saedudin
Moch Arif Bijaksana, Moch. Arif Bijaksana
Wibawa I.P.D., I Gede Prasetya Dwi Wibawa
Fiky Y. Suratman, Fiky Yosef Suratman
Moch Arif Bijaksana, Moch. Arif Bijaksana
Irawan Nurhas, 0
Jan M. Pawlowski, 0
Stefan Geisler, 0
Baizal Z.K.A., Z. K. Abdurahman Baizal
Bambang Riyanto Trilaksono, 0
Catur Wirawan Wijiutomo, 0
Achmad Imam Kistijantoro, 0
Andiani L., Linahtadiya Andiani
Martini S., Sri Martini
Rahayu M., Mira Rahayu
Nuha H., Hilal Hudan Nuha
Wulandari S., Sari Wulandari
Ramadhani K.N., Kurniawan Nur Ramadhani
Sthevanie F., Febryanti Sthevanie
Ridwan A.Y., Ari Yanuar Ridwan
Santosa B., Budi Santosa
Suryadhini P.P., Pratya Poeri Suryadhini
Rendra M., Meldi Rendra
Andini Anindya Prameswari, 0
Gayes Mahestu, 0
Andrawina L., Luciana Andrawina
Finata R.A., Rizki Afif Finata
Muhammad Azani Hasibuan, Muhammad Azani Hs
Adiwijaya A., Adiwijaya
Anggadwita G., Grisna Anggadwita
Jati H. Husen, Jati Hiliamsyah Husen
Utomo R.G., Rio Guntur Utomo
Nuha H., Hilal Hudan Nuha
Suwastika N.A., Novian Anggis Suwastika
Novera Istiqomah, 0
Maulana B.S. Qidun, 0
Aulia I., Indra Aulia
Lhaksmana K.M., Kemas Muslim Lhaksmana
Erwin Setiawan, Erwin Budi Setiawan
Wibawa I.P.D., I Gede Prasetya Dwi Wibawa
Risman Adnan, Risman Adnan Mattotorang
W. Tody Ariefianto, Tody Ariefianto Wibowo
Ali A.H., 0
Nugraha R.A., 0
Wibowo E., Edy Wibowo
Aditsania A., Annisa Aditsania
Afrin F. Rizana, Afrin Fauzya Rizana
Fida N. Nugraha, Fida Nirmala Nugraha
Erwin B. Setiawan, Erwin Budi Setiawan
Priramadhi R.A., Rizki Ardianto Priramadhi
Aprillia B.S., Bandiyah Sri Aprillia
Andini N., Nur Andini
Natali Y., Yus Natali
Irawan Nurhas, 0
Jan M. Pawlowski, 0
Stefan Geisler, 0
Setianingsih C., Casi Setianingsih
Dirgantoro B., Burhanuddin Dirgantoro
Iqbal M., Muhammad Iqbal
Anugraha R.A., Rino Andias Anugraha
Aniq A. Rohmawati, Aniq Atiqi Rohmawati
Martini S., Sri Martini
Rahayu M., Mira Rahayu
Ambarsari N., Nia Ambarsari
Soesanto R.P., Rayinda Pramuditya Soesanto
Kurniawati A., Amelia Kurniawati
Reza Septiawan, Reza Rendian Septiawan
Andrawina L., Luciana Andrawina
Veinardi Suendo, 0
Rino R. Mukti, 0
Ashari B. Nugraha, 0
Damar R. Adhika, 0
Viny V. Tanuwijaya, 0
Fry V. Steky, 0
Erna Febriyanti, 0 
Didi P. Benu, 0
Baizal Z.K.A., Z. K. Abdurahman Baizal
Setiawan E.B., Erwin Budi Setiawan
Puspitasari S., Shinta Yulia Puspitasari
Uswah Khairuddin, 0
M. Abdullah Azzam, 0
Mohd. Ibrahim Shapiai, 0
Tadayasu Komura, 0
Hilman Fauzi, 0
Masaki Kyoso, 0
Nyoman Karna, Nyoman Bogi Aditya Karna
Indra W. Fathona, Indra Wahyudhin Fathona
Baizal Z.K.A., Z. K. Abdurahman Baizal
Yusza Reditya M., Yusza Reditya Murti
Anranur Uwaisy M., Anranur Uwaisy Marchiningrum
Leonardus W.W. Mihardjo, Leonardus W Wasono
Chumaidiyah E., Endang Chumaidiyah
Siti Sa'adah, Siti Sa'Adah
Rahmat S.W. Kemas, Kemas Rahmat Saleh Wiharja
Supriadi O.A., Olivine Alifaprilina Supriadi
Asror I., Ibnu Asror
Faraby S.A., Said Al Faraby
Setiawan E.B., Erwin Budi Setiawan
Murti Y.R., Yusza Reditya Murti
Alhilman J., 0
Abdillah A.F., 0
Sasmi Hidayatul Y.T., Sasmi Hidayatul Yulianing Tyas
Oktafani F., Farah Oktafani
Suryawardani B., Bethani Suryawardani
Kemas M. Lhaksmana, Kemas Muslim Lhaksmana
Moch Arif Bijaksana, Moch. Arif Bijaksana
Selviandro N., Nungki Selviandro
Herdiani A., Anisa Herdiani
Dana Sulistyo Kusumo, 0
Deandra Abiantoro, 0
Yuli-Sun Hariyani, Yuli Sun Hariyani
Kemas M. Lhaksmana, Kemas Muslim Lhaksmana
Rizana A.F., Afrin Fauzya Rizana
Kurniawati A., Amelia Kurniawati
Fahri Wisnu Murti, 0
Rahmat Faddli Siregar, 0
Muhammad Royyan, 0
Soo Young Shin, 0
Wardana A.A., Aulia Arif Wardana
Suryani V., Vera Suryani
Hadiyoso S., Sugondo Hadiyoso
Wijayanto I., Inung Wijayanto
Fauzia Ahmad, 0
Michael Faub, 0
Afief D. Pambudi, 0
Abdelhak M. Zoubir, 0
Risto Wichman, 0
Muhammad Royyan, 0
Themistoklis Charalambous, 0
Mikko Vehkapera, 0
Denny Kusuma Hendraningrat, 0
Bhaskara Narottama, 0
I. Nyoman Apraz Ramatryana, 0
Atmaji F.T.D., Fransiskus Tatas Dwi Atmaji
Hamami F., Faqih Hamami
Arianis Chan, 0
Asep Miftahuddin, 0
Sam'un Jaja Raharja, 0
Bambang Hermanto, 0
Soesanto R.P., Rayinda Pramuditya Soesanto
Tripiawan W., Wawan Tripiawan
Darmawan I., Irfan Darmawan
Atmaji F.T.D., Fransiskus Tatas Dwi Atmaji
Santosa B., Budi Santosa
Erwin B. Setiawan, Erwin Budi Setiawan
Ningsih L., Lidya Ningsih
Damayanti D.D., Dida Diah Damayanti
Natali Y., Yus Natali
Dandy Marcelino, 0
Harrie Lutfie, 0
Dandy Marcelino, 0
Harrie Lutfie, 0
Martin Decker Lumban Tobinga, 0
Nova Indah Saragiha, 0
Ramdhani M., Mohamad Ramdhani
Thomhert S. Siadari, Thomhert Suprapto Siadari
Handayani R., 0
Inawati, 0
Novarina I., 0
Julistiono H., 0
Dinoto A., 0
Saputra S., 0
Sulistiani, 0
Budiman F., Faisal Budiman
Puspitasari W., Warih Puspitasari
Saputra M., Muhardi Saputra
Adytia D., Didit Adytia
Rd Rohmat Saedudin, Rd. Rohmat Saedudin
Lis Kurnia Nurhayati, Iis Kurnia Nurhayati
Baizal Z.K.A., Z. K. Abdurahman Baizal
Nuha H., Hilal Hudan Nuha
David A. Powell, 0
Mingkai Liu, 0
Ashif A. Fathnan, 0
Hilal H. Nuha, Hilal Hudan Nuha
Chumaidiyah E., Endang Chumaidiyah
Tarwidi D., Dede Tarwidi
Rahmat R.F., 0
Zai E.N., 0
Fawwaz I., 0
Aulia I., 0
Andreas E. Olk, 0
David A. Powell, 0
Ashif A. Fathnan, 0
Citra Dewi, 0
Risky Juliansyah, 0
Jastria Pusmarani, 0
Muhammad Isrul, 0
Himaniarwati, 0
Wa Ode Yuliastri, 0
Ahmad Saleh, 0
Nuha H., Hilal Hudan Nuha
Tripiawan W., Wawan Tripiawan
Zhuang Tao, 0
Fityanul Akhyar, 0
Ai-Sheng Xu, 0
Chih-Yang Lin, 0
